user_id,target_movie_id,target_title,target_genres,target_rating,target_timestamp,prior_history_count,candidate_count,bias_target_rank,bias_raw_target_score,bias_hit_at_5,bias_ndcg_at_5,bias_mrr_at_5,bias_hit_at_10,bias_ndcg_at_10,bias_mrr_at_10,item_knn_target_rank,item_knn_raw_target_score,item_knn_hit_at_5,item_knn_ndcg_at_5,item_knn_mrr_at_5,item_knn_hit_at_10,item_knn_ndcg_at_10,item_knn_mrr_at_10,svd_target_rank,svd_raw_target_score,svd_hit_at_5,svd_ndcg_at_5,svd_mrr_at_5,svd_hit_at_10,svd_ndcg_at_10,svd_mrr_at_10,pmf_target_rank,pmf_raw_target_score,pmf_hit_at_5,pmf_ndcg_at_5,pmf_mrr_at_5,pmf_hit_at_10,pmf_ndcg_at_10,pmf_mrr_at_10
1,48,Pocahontas (1995),Animation|Children's|Musical|Romance,5.0,978824351,52,3648,2668,3.204420566558838,False,0.0,0.0,False,0.0,0.0,1774,3.6130521297454834,False,0.0,0.0,False,0.0,0.0,2806,3.641753673553467,False,0.0,0.0,False,0.0,0.0,1887,3.4882068634033203,False,0.0,0.0,False,0.0,0.0
2,1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,4.0,978300174,125,3575,2542,2.963435173034668,False,0.0,0.0,False,0.0,0.0,1418,3.424913167953491,False,0.0,0.0,False,0.0,0.0,2401,3.357780933380127,False,0.0,0.0,False,0.0,0.0,1638,3.272777795791626,False,0.0,0.0,False,0.0,0.0
3,2081,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,4.0,978298504,50,3650,972,3.8510055541992188,False,0.0,0.0,False,0.0,0.0,454,4.287540435791016,False,0.0,0.0,False,0.0,0.0,592,4.114832878112793,False,0.0,0.0,False,0.0,0.0,1563,3.5656087398529053,False,0.0,0.0,False,0.0,0.0
5,2029,Billy's Hollywood Screen Kiss (1997),Comedy|Romance,4.0,978246555,193,3507,744,3.2344584465026855,False,0.0,0.0,False,0.0,0.0,1179,3.1572909355163574,False,0.0,0.0,False,0.0,0.0,501,3.390756845474243,False,0.0,0.0,False,0.0,0.0,1150,2.9749817848205566,False,0.0,0.0,False,0.0,0.0
6,597,Pretty Woman (1990),Comedy|Romance,5.0,978239019,70,3630,1201,3.909066915512085,False,0.0,0.0,False,0.0,0.0,629,4.297240734100342,False,0.0,0.0,False,0.0,0.0,780,4.0376152992248535,False,0.0,0.0,False,0.0,0.0,88,4.262119293212891,False,0.0,0.0,False,0.0,0.0
7,349,Clear and Present Danger (1994),Action|Adventure|Thriller,5.0,978234874,23,3677,1075,4.093087673187256,False,0.0,0.0,False,0.0,0.0,606,4.397899627685547,False,0.0,0.0,False,0.0,0.0,792,4.453467845916748,False,0.0,0.0,False,0.0,0.0,529,4.1703972816467285,False,0.0,0.0,False,0.0,0.0
8,741,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi,5.0,978233526,137,3563,291,4.313549041748047,False,0.0,0.0,False,0.0,0.0,119,4.800174713134766,False,0.0,0.0,False,0.0,0.0,123,4.396786689758301,False,0.0,0.0,False,0.0,0.0,298,4.281726360321045,False,0.0,0.0,False,0.0,0.0
9,2294,Antz (1998),Animation|Children's,4.0,978226678,104,3596,1560,3.3262970447540283,False,0.0,0.0,False,0.0,0.0,449,3.83483624458313,False,0.0,0.0,False,0.0,0.0,1497,3.6571004390716553,False,0.0,0.0,False,0.0,0.0,1086,3.406301498413086,False,0.0,0.0,False,0.0,0.0
10,2252,Hero (1992),Comedy|Drama,5.0,980638688,400,3300,2252,3.5100185871124268,False,0.0,0.0,False,0.0,0.0,884,4.069947719573975,False,0.0,0.0,False,0.0,0.0,2140,3.7576301097869873,False,0.0,0.0,False,0.0,0.0,934,3.984518527984619,False,0.0,0.0,False,0.0,0.0
11,2076,Blue Velvet (1986),Drama|Mystery,4.0,978908976,135,3565,786,3.4427127838134766,False,0.0,0.0,False,0.0,0.0,838,3.490009307861328,False,0.0,0.0,False,0.0,0.0,538,3.514000177383423,False,0.0,0.0,False,0.0,0.0,356,3.5586061477661133,False,0.0,0.0,False,0.0,0.0
