movie_id,title,genres,svd_ranking_score,svd_predicted_rating,svd_rank,pmf_ranking_score,pmf_predicted_rating,pmf_rank
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.7066164,4.7066164,1.0,,,
2905,Sanjuro (1962),Action|Adventure,4.5986485,4.5986485,2.0,,,
858,"Godfather, The (1972)",Action|Crime|Drama,4.5943117,4.5943117,3.0,,,
1198,Raiders of the Lost Ark (1981),Action|Adventure,4.5901394,4.5901394,4.0,,,
1148,"Wrong Trousers, The (1993)",Animation|Comedy,4.575422,4.575422,5.0,,,
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.5560417,4.5560417,6.0,,,
745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.547582,4.547582,7.0,,,
1193,One Flew Over the Cuckoo's Nest (1975),Drama,4.5267544,4.5267544,8.0,,,
912,Casablanca (1942),Drama|Romance|War,4.5251455,4.5251455,9.0,,,
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama,4.5139112,4.5139112,10.0,,,
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,,,,4.945301,4.945301,1.0
1035,"Sound of Music, The (1965)",Musical,,,,4.8517776,4.8517776,2.0
2197,Firelight (1997),Drama,,,,4.8228464,4.8228464,3.0
2609,"King of Masks, The (Bian Lian) (1996)",Drama,,,,4.771041,4.771041,4.0
2431,Patch Adams (1998),Comedy|Drama,,,,4.754147,4.754147,5.0
932,"Affair to Remember, An (1957)",Romance,,,,4.729381,4.729381,6.0
2443,Playing by Heart (1998),Drama|Romance,,,,4.7126055,4.7126055,7.0
2067,Doctor Zhivago (1965),Drama|Romance|War,,,,4.700546,4.700546,8.0
2106,Swing Kids (1993),Drama|War,,,,4.6632133,4.6632133,9.0
848,"Spitfire Grill, The (1996)",Drama,,,,4.623924,4.623924,10.0
