movie_id,title,genres,svd_ranking_score,svd_predicted_rating,svd_rank,pmf_ranking_score,pmf_predicted_rating,pmf_rank
318,"Shawshank Redemption, The (1994)",Drama,4.332596,4.332596,1.0,4.448319,4.448319,10.0
858,"Godfather, The (1972)",Action|Crime|Drama,4.3288646,4.3288646,2.0,,,
527,Schindler's List (1993),Drama|War,4.3013134,4.3013134,3.0,4.613079,4.613079,2.0
2905,Sanjuro (1962),Action|Adventure,4.291542,4.291542,4.0,4.4969897,4.4969897,3.0
50,"Usual Suspects, The (1995)",Crime|Thriller,4.2858944,4.2858944,5.0,,,
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.2741175,4.2741175,6.0,,,
1148,"Wrong Trousers, The (1993)",Animation|Comedy,4.26041,4.26041,7.0,4.47948,4.47948,4.0
745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.2573147,4.2573147,8.0,,,
904,Rear Window (1954),Mystery|Thriller,4.217914,4.217914,9.0,4.4492497,4.4492497,9.0
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,4.208482,4.208482,10.0,,,
2503,"Apple, The (Sib) (1998)",Drama,,,,4.638323,4.638323,1.0
3338,For All Mankind (1989),Documentary,,,,4.4744196,4.4744196,5.0
953,It's a Wonderful Life (1946),Drama,,,,4.4613285,4.4613285,6.0
53,Lamerica (1994),Drama,,,,4.456826,4.456826,7.0
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,,,,4.452574,4.452574,8.0
